Name,Age,Potential,Position,Overall
I. Afellay,32,74,CAM,74
A. Zambo Anguissa,22,82,RCM,74
N. Lombaerts,33,74,LCB,74
C. Chambers,23,80,CB,74
I. Sangar‚,20,85,CDM,74
A. Sulu,32,74,LCB,74
M. Pucciarelli,27,75,ST,74
R. Sa‹ss,28,74,CM,74
J. Haberer,24,78,RDM,74
E. Dennis,20,85,RM,74
J. Kana-Biyik,28,75,RCB,74
V. Barkas,24,77,GK,74
K. Johnsson,28,74,GK,74
S. Floccari,36,74,ST,74
S. Pr”dl,31,74,RCB,74
V. Laurini,29,74,RB,74
A. Eschenko,34,74,RB,74
S. Okaka,28,74,ST,74
J. Kodjia,28,74,ST,74
A. Oyongo,27,75,LWB,74
S. Bolat,29,75,GK,74
A. Mitri??,23,80,LW,74
A. Behich,27,75,LB,74
O. Tannane,24,78,LS,74
F. Haroun,32,74,LDM,74
D. Gosling,28,74,CM,74
Pedro Santos,30,74,RM,74
J. Larsen,19,85,LM,74
F. Bastians,30,74,LCB,74
J. Ralls,24,79,RCM,74
S. Vilakazi,28,74,CM,74
Victorino Magela,30,74,GK,74
Marc Navarro,22,81,RB,74
K. Kamara,33,74,ST,74
D¢ria,23,78,LCB,74
S. Serdar,21,82,RCM,74
O. Tufan,23,79,CDM,74
Pedro Rebocho,23,82,LB,74
I. Strini?,30,74,LB,74
S. Grytebust,28,75,GK,74
W. Hahn,26,78,GK,74
Adrianiscito,26,74,GK,74
L. Fern ndez,27,75,ST,74
A. Lozano,25,79,ST,74
M. Tisserand,25,79,CB,74
M. Ruben,31,74,RS,74
T. Abraham,20,85,ST,74
R. Neust„dter,30,74,CB,74
Beb‚,27,74,LM,74
M. Vydra,26,76,CAM,74
J. Leca,32,74,GK,74
Carmona,30,74,CAM,74
C. Lema,28,74,CB,74
Dentinho,29,74,CAM,74
L. Villafa¤ez,26,74,RM,74
D. Brasanac,26,77,CM,74
S. Kljestan,32,74,CAM,74
W. Morelo,31,74,LS,74
M. Diop,30,74,ST,74
C. Benavente,24,78,CAM,74
A. del Valle,29,74,RM,74
R. Ibarra,27,74,RM,74
J. Musso,24,80,GK,74
Padilhisco,26,74,LB,74
F. Forestieri,28,74,ST,74
A. Bedoya,31,74,RDM,74
A. Romao,34,74,RDM,74
O. Gladkyi,30,74,ST,74
A. Hack,24,78,CB,74
D. McCarty,31,74,RDM,74
K. Ad‚non,32,74,RCB,74
J. Plata,26,74,LW,74
J. Stephens,24,80,CB,74
M. ?degaard,19,84,RW,74
R£ben Semedo,24,80,CB,74
Sequeira,27,74,LB,74
I. Chochev,25,77,CM,74
M. Gulde,27,75,RCB,74
Bruno C‚sar,29,74,LM,74
F. Jara,29,74,ST,74
Gabrel,25,78,GK,74
M. Bakalorz,28,74,RDM,74
A. Rossi,22,82,GK,74
?lex Moreno,25,79,LB,74
F. Hadergjonaj,23,80,RWB,74
O. Kucher,35,74,CB,74
M. Diouf,30,74,ST,74
G. Burdisso,29,74,CB,74
V. Misidjan,24,77,RM,74
A. Correa,33,74,LCB,74
R. Salin,33,74,GK,74
F. Valverde,19,84,CM,74
M. Etxeberr¡a,26,74,LM,74
R. Haps,25,77,LB,74
Cho Hyun Woo,26,76,GK,74
Y. Gourcuff,31,74,CAM,74
Jesus Andradaldo,26,74,RB,74
P. Mpoku,26,74,LM,74
D. Musto,31,74,CDM,74
M. Vargas,21,85,LW,74
A. Baba,23,79,LB,74
S. Davis,33,74,RCM,74
S. ™zbayrakl?,28,74,RB,74
Mattheus Oliveira,23,79,RCM,74
M. Le Marchand,28,74,LB,74
R‚gis,25,76,CAM,74
Nacho,29,74,LB,74
B. Gibson,25,80,CB,74
C. Taylor,24,78,LB,74
T. K?dziora,24,79,RB,74
R. Saravia,25,77,RB,74
D. Drexler,28,74,LCM,74
S. Falette,26,77,CB,74
O. Etebo,22,84,RCM,74
A. Cerci,30,74,RW,74
L. Rodr¡guez,21,83,LM,74
R. Hubn¡k,34,74,LCB,74
J. Andersen,22,82,RCB,74
Fran Beltr n,19,82,CDM,74
D. Viera,27,74,RCB,74
F. Zampedri,30,74,LS,74
H. Lindner,27,77,GK,74
J. S nchez Mi¤o,28,74,LB,74
M. Pavlovi?,28,75,CB,74
A. Kon‚,34,74,ST,74
J. Ferri,26,74,RCM,74
C. Bassogog,22,81,RS,74
M. Diagne,26,75,ST,74
J. Ibe,22,79,RM,74
D. Heuer Fernandes,25,78,GK,74
A. Fulgini,21,82,RM,74
M. Jensen,30,74,CM,74
A. Bjelland,29,74,CB,74
J. Fuenzalida,33,74,RW,74
Juanfran,29,74,RB,74
S. Kittel,25,76,CAM,74
V. Rosier,21,81,RB,74
K. Waston,30,74,RCB,74
P. ?ulj,25,78,LCM,74
L. Grant,35,74,GK,74
G. Jara,32,74,CB,74
S. Lainer,25,77,RB,74
?scar Plano,27,74,LM,74
De la Bella,32,74,LB,74
R. Cohade,33,74,RCM,74
P. Morales,33,74,CAM,74
D. Arismendi,30,74,CDM,74
N. Stanciu,25,79,RDM,74
D. ?aleta-Car,21,81,CB,74
L. Fer,28,74,CDM,74
A. Williams,33,74,RCB,74
J. Bryan,24,78,LB,74
Ricardo Costa,37,74,LCB,74
Ailton,23,79,LB,74
R. Cota,30,74,GK,74
G. Margreitter,29,74,RCB,74
A. Rebrov,34,74,GK,74
Djavan,30,74,LB,74
A. Chedjou,33,74,RCB,74
Luna,27,75,LB,74
F. Ricca,23,80,LB,74
C. Awaziem,21,81,CB,74
F. Carrizo,27,74,RM,74
A. Ragusa,28,74,LW,74
A. Wan-Bissaka,20,84,RB,74
J. Biabiany,30,74,RW,74
B. Mensah,23,81,LDM,74
D. Padelli,32,74,GK,74
D. To?i?,33,74,LCB,74
E. Bauth‚ac,30,74,RM,74
Tiago Silva,25,77,CAM,74
A. Tameze,24,80,CM,74
V. Manceau,28,74,RB,74
F. Bardi,26,75,GK,74
L. Adv¡ncula,28,74,RB,74
J. Gallardo,23,80,LW,74
Enaldo Toxeto,30,74,LCB,74
Camilo,29,74,ST,74
J. Schmid,28,74,RWB,74
Welthon,26,76,ST,74
Moi G¢mez,24,79,LCM,74
Marc Muniesa,26,78,CB,74
Samu Saiz,27,75,CAM,74
J. Sorbon,34,73,LCB,73
S. Long,31,73,RS,73
S. Wuytens,28,73,CB,73
S. Araujo,26,76,LF,73
Andr‚ Martins,28,73,LDM,73
S. March,23,77,CAM,73
F. Chafik,31,73,RB,73
K. Ajer,20,82,CB,73
K. Grosicki,30,73,LM,73
Alex Berganti¤os,33,73,CDM,73
E. Derdiyok,30,73,ST,73
David Braz,31,73,LCB,73
D. Roef,24,77,GK,73
Lomb n,31,73,CB,73
J. Drobn?,38,73,GK,73
A. Acquah,26,74,LCM,73
T. Smith,26,76,RB,73
R. Nuzzolo,34,73,ST,73
G. Jung,23,80,CB,73
M. Iturra,34,73,CDM,73
Molinero,32,73,RB,73
Pedro S ,24,80,CDM,73
D. P‚rez,29,73,LB,73
B. Cesar,35,73,CB,73
D. Braghieri,31,73,LCB,73
C. ?lvarez,32,73,GK,73
Carlos Ponck,23,78,RCB,73
R. Assal‚,24,78,RS,73
M. Miazga,22,78,RCB,73
L‚o Bonatini,24,78,ST,73
B. Fern ndez,23,80,ST,73
S. Hutchinson,27,73,RCB,73
S. Rybalka,28,74,LDM,73
N. Acevedo,29,73,RCM,73
J. Lucero,26,74,ST,73
G. Chakvetadze,18,86,LM,73
I. Fossum,21,78,RM,73
V. Karavaev,23,77,RB,73
T. Leibold,24,76,LB,73
G. Arias,30,73,GK,73
T. Huddlestone,31,73,CDM,73
A. Clayton,29,73,CDM,73
K. Nakamura,37,73,CAM,73
L. Kon‚,29,73,LCB,73
M. Vejinovi?,28,73,CM,73
H. Van Crombrugge,25,77,GK,73
M. Russ,32,73,CB,73
Pietrson Mendes,34,73,CAM,73
Salvi S nchez,27,73,RM,73
E. Pavez,28,73,CM,73
I. Kov cs,26,74,CAM,73
Nildo Petrolina,32,73,LW,73
Y. Seleznyov,32,73,ST,73
C. L”we,29,73,LWB,73
V. Cantillo,24,80,LDM,73
J. Ward,28,73,RB,73
S. Skrzybski,25,74,LS,73
Diego Oliveira,28,73,ST,73
Luis Milla,23,80,RCM,73
A. Ba,27,75,CB,73
Jaim Abra,26,73,GK,73
S. von Bergen,35,73,LCB,73
S. Armenteros,28,73,ST,73
Y. ™ztekin,31,73,LM,73
J. Molina,30,73,RCB,73
R. Gikiewicz,30,73,GK,73
G. Silva,24,78,CB,73
W. Hoolahan,36,73,CAM,73
Freder Cabral,26,73,GK,73
J. G¢mez,28,73,CAM,73
Rodrigo Galo,31,73,RB,73
R. Fredericks,25,75,RB,73
M. Ishak,25,76,ST,73
N. Gieáelmann,26,74,LB,73
Luis Couprins,30,73,RDM,73
F. Kudryashov,31,73,LCB,73
S. Zoller,27,73,ST,73
D. Brooks,20,85,RM,73
M. Hawsawi,26,76,CB,73
M. Bola¤os,28,73,RS,73
J. St. Juste,21,78,RB,73
Jo?o Aur‚lio,29,73,RB,73
J. Mari‚,26,74,CM,73
R. Benzar,26,76,RB,73
G. Sertic,28,73,CB,73
R. Philippoteaux,30,73,LM,73
Gerson,21,81,LCM,73
B. Assombalonga,25,76,ST,73
J. ?ural,28,73,RS,73
Gerso,27,73,RW,73
M. Urruti,27,74,CAM,73
D. Ciofani,32,73,ST,73
Etxeita,30,73,LCB,73
L. Ayling,26,74,RB,73
K. Saief,24,76,LM,73
S. Thioub,23,78,RM,73
D. Bronn,23,80,LCB,73
J. Basanta,34,73,CB,73
Diego Far¡as,28,73,CF,73
L. Rodr¡guez,27,74,RB,73
Marcos Paneira,30,73,LDM,73
Cifuentes,39,73,GK,73
K. Bartley,27,75,CB,73
K. Monnet-Paquet,29,73,LM,73
G. Cameron,32,73,LDM,73
R. Yabo,26,74,RM,73
A. Najar,25,76,RB,73
B. Ramselaar,22,79,CAM,73
T. Ci?erci,26,76,CDM,73
O. P‚rez,37,73,CAM,73
F. Mattiello,22,78,RM,73
V. Forren,30,73,LCB,73
F. Diedhiou,25,77,LS,73
K. Darlow,27,75,GK,73
F. Nov k,28,73,LB,73
P. Martinez,29,74,LCB,73
M. Santos,25,77,ST,73
J. Kopic,28,73,LM,73
N. Al Abed,28,73,LM,73
C. Ke?er,31,73,CAM,73
Ferr n Torres,18,86,RM,73
S. Kapino,24,78,GK,73
O. Opazo,27,73,LB,73
Andr‚ Geraldes,27,74,RB,73
Juli Piresinho,30,73,RB,73
J. Schlupp,25,76,LB,73
Vinicius Cardenha,26,73,RB,73
B. Lozano,24,78,LM,73
P. Hro?ovsk?,26,76,LDM,73
Gabriel Silva,27,74,LB,73
O. Sorg,28,73,RB,73
B. Johnsen,26,74,LS,73
M. Yanga-Mbiwa,29,73,CB,73
M. Britos,29,73,ST,73
R. Hennings,30,73,LS,73
J. Bamba,22,82,LM,73
Ivo Rodrigues,23,79,RW,73
E. Audero,21,85,GK,73
A. Maier,19,86,LDM,73
F. Tissone,31,73,CDM,73
M. Dituro,31,73,GK,73
G. Bia,28,73,CAM,73
B. Al?c?,21,80,RM,73
G. Bussmann,27,73,LB,73
C. Buchtmann,26,76,CM,73
J. Al Hussien,35,73,CAM,73
G. Poblete,25,76,CDM,73
M. Niakhat‚,22,80,LCB,73
T. Minamino,23,80,ST,73
N. Benedetti,21,85,CAM,73
Y. Sanogo,25,78,ST,73
E. ?lvarez,20,79,CB,73
S. Sunzu,29,74,RCB,73
M. Kanazaki,29,73,RS,73
Paulinho,26,73,RB,73
L. Bustamante,32,73,CAM,73
E. Schelotto,29,73,RB,73
Ignasi Miquel,25,77,CB,73
?lex Gallar,26,74,RM,73
Orlando S ,30,73,ST,73
T. Ince,26,74,RW,73
V¡ctor Rodr¡guez,28,73,LM,73
L. Baal,32,73,LB,73
lton,32,73,RW,73
A. Ounas,21,82,RW,73
H. Afful,32,73,RB,73
C. Clemens,26,73,RM,73
F. Amorebieta,33,73,CB,73
J. O'Connell,24,80,LCB,73
F. Dionisi,31,73,ST,73
H. Harbaoui,33,73,ST,73
M. Nervo,27,76,RCB,73
J. Djourou,31,73,CB,73
P. Karlsson,32,73,CB,73
M. Rangel,27,73,ST,73
S. P‚rez,25,77,CM,73
F. Manr¡quez,34,73,LCM,73
Abraham Gonz lez,32,73,LDM,73
Ailton Valpa‡os,26,73,LCB,73
J. Kound‚,19,86,RCB,73
T. Xhaka,27,75,LDM,73
E. Mena,29,73,LB,73
W. Janssen,31,73,LCB,73
Douglas Armeira,26,73,RB,73
M. Demiral,20,83,RCB,73
D. Vera,33,73,ST,73
M. Kami?ski,26,75,CB,73
S. C rdenas,28,73,CAM,73
K. Phillips,22,79,CDM,73
M. Rensing,34,73,GK,73
Y. Mokhtar,26,73,LM,73
B. Dejaegere,27,74,CAM,73
R. Orsolini,21,85,RW,73
S. de Jong,29,73,CAM,73
J. Riedewald,21,80,CDM,73
C. Yacob,30,73,CDM,73
Yan Junling,27,76,GK,73
Miguel Veloso,32,73,CDM,73
B. Zuculini,25,76,CDM,73
J. Moreira,28,73,RB,73
B. Hamid,27,76,GK,73
V. Qazaishvili,25,75,LM,73
G. Toledo,28,73,RB,73
E. Barreto,33,73,CM,73
N. Bungert,31,73,CB,73
C. Montes,21,81,LCB,73
J. Poulsen,34,73,RCM,73
A. Grnwald,29,73,CAM,73
S. Clucas,27,73,LM,73
J. Bo?il,27,74,LB,73
J. Lewis,30,73,GK,73
D. Nagbe,27,73,RDM,73
J. Gandolfi,37,73,CB,73
Fabiano,30,74,GK,73
J. Mi?i?,24,78,CM,73
J. G‚lin,21,83,CB,73
S. Bertoli,40,73,GK,73
Xeka,23,79,LDM,73
M. Rosenberg,35,73,RS,73
Raul Garc¡a,29,73,LB,73
G. Caprari,24,78,CF,73
Diego Lopes,24,77,CAM,73
M. Banguera,32,73,GK,73
O. Gonzalez,29,73,RCB,73
Costinha,25,76,CM,73
E. Palacios,19,85,LCM,73
Sergio Tejera,28,73,RCM,73
Pedro Rocha,23,79,LW,73
K. Long,27,73,LCB,73
M. Stekelenburg,35,73,GK,73
Samir,23,77,LB,73
Carlos Hern ndez,27,74,LCB,73
L. Mart¡nez Quarta,22,82,CB,73
F. Barba,24,79,LB,73
T. Elyounoussi,30,73,LM,73
T. Krul,30,73,GK,73
R. Morioka,27,74,CAM,73
J. Vald‚s,37,73,RCM,73
Bruno Xadas,20,84,RM,73
A. Bttner,29,73,LB,73
C. Akolo,23,81,RW,73
Cristiano,31,73,LS,73
K. M”hwald,24,77,CM,73
A. Rodr¡guez,29,73,ST,73
J. G¢ralski,25,77,CDM,73
S. Larsson,33,73,RCM,73
D. Ndongala,27,73,RM,73
S. Carson,32,73,GK,73
M. Matip,32,73,CB,73
A. Ulmer,32,73,LB,73
J. Pied,29,73,RB,73
M. van der Hoorn,25,76,RCB,73
M. Gavranovi?,28,73,ST,73
J. Stryger Larsen,27,75,LB,73
G. Torje,28,73,RM,73
C. Mayada,27,73,RB,73
M. P‚rez,25,78,CDM,73
S. Arfield,29,73,LCM,73
S. Ribas,30,73,LS,73
A. Christiansen,28,73,RCM,73
F. Aguilar,25,80,RCB,73
O. Veigneau,32,73,LB,73
Gus Outomouro,34,73,ST,73
R. Czichos,28,73,LCB,73
Y. Atal,22,82,RWB,73
C. Doukour‚,25,78,RDM,73
F. Sambueza,29,73,RM,73
Juliano Mascarinhas,34,73,LCM,73
F. Rinaudo,31,73,RCM,73
S. Schrijvers,21,79,RS,73
J. Ikon‚,20,84,CAM,73
A. Smithies,28,75,GK,73
T. Ream,30,73,CB,73
A. Maxim,27,73,LM,73
N. Navarro,33,73,GK,73
A. Rispoli,29,73,RM,73
I. Bald‚,29,73,ST,73
Miguel Vieira,27,74,RCB,73
L. Freeman,26,74,LM,73
G. Hooper,30,73,ST,73
R. Emond,26,74,ST,73
E. Terranova,31,73,RCB,73
S. Dewaest,27,74,RCB,73
N‚lson Oliveira,26,73,ST,73
A. Losilla,32,73,RDM,73
F. Meza,26,76,CB,73
C. Mathenia,26,76,GK,73
O. Ntcham,22,82,CM,73
M. Knoll,27,73,LDM,73
A. Bakasetas,25,77,CAM,73
M. Barrios,27,73,RM,73
S. Salcedo,20,80,RCB,73
Perdig?o,26,73,RW,73
Galeno,20,84,LW,73
B¢veda,29,73,RB,73
Marc Mateu,28,73,LB,73
G. Saville,25,76,LCM,73
R. Christie,23,78,LCM,73
P. Foden,18,88,CAM,73
T. Foket,23,78,RB,73
P. Schiattarella,31,73,CM,73
F. S?rensen,26,76,CB,73
D. Ward,25,76,GK,73
L. Diony,25,76,LM,73
R. Kruni?,24,78,RCM,73
Riesgo,34,73,GK,73
J. Howson,30,73,RCM,73
J. Van Damme,34,73,LCB,73
M. Martins,31,73,RS,73
W. Far¡¤ez,20,83,GK,73
B. Dibassy,28,73,LB,73
T. Reginiussen,32,73,LCB,73
G. Rivas,29,73,ST,73
Benjamin Meseira,34,73,RB,73
C. Ninga,25,78,LW,73
M. Suttner,31,73,LB,73
G. van der Wiel,30,73,RCB,73
W. Gonz lez,23,81,ST,73
T. Ho?ava,30,73,CAM,73
P. Tachtsidis,27,73,CDM,73
W. Sa‹d,23,79,LM,73
E. Cerutti,26,74,RM,73
Gustavo Lobateiro,30,73,RAM,73
Pere Milla,25,76,CAM,73
J. Johansson,28,73,CM,73
T. Murg,23,77,RM,73
J. Ram¡rez,25,75,LW,73
F. Vicari,23,81,CB,73
K. Adams Nuhu,23,81,CB,73
P. Nardi,24,78,GK,73
H. Magn£sson,25,78,LB,73
O. Edouard,20,84,ST,73
D. Rice,19,84,CDM,73
Evandro Rochedo,34,73,ST,73
K. Westwood,33,73,GK,73
Bracali,37,73,GK,73
M. Sperduti,32,73,RM,73
Y. G¢mez Andrade,26,75,CB,73
G. Peruzzi,26,76,RB,73
Toni Villa,23,82,CF,73
Y. Gordillo,26,78,LDM,73
Ricardo,31,73,ST,73
B. Sanneh,23,79,CB,73
Michel Cruceiro,26,73,LDM,73
L. Buri n,34,73,GK,73
M. Tekdemir,30,73,CDM,73
K. Lamprou,26,74,GK,73
I. Mbaye,23,80,RB,73
A. Browne,23,78,CAM,73
G. Pazzini,33,73,ST,73
Eduardo,25,76,CM,73
C. Santos,30,73,ST,73
E. Mendy,26,76,GK,73
M. Ngadeu-Ngadjui,27,75,LCB,73
L. Mazzitelli,22,78,CM,73
J. Lolley,25,74,RM,73
A. Traor‚,29,73,CAM,73
V. Stocker,29,73,LM,73
D. Alar,28,73,ST,73
J. A¤or,24,78,RM,73
A. Donis,21,83,ST,73
M. Gazzola,33,73,RB,73
F. Diagne,28,73,RCB,73
S. Schaars,34,73,CDM,73
M. Poundj‚,25,76,LB,73
F. Hinestroza,28,73,RM,73
A. Hahn,27,73,RM,73
V. Shepelev,21,82,RDM,73
M. Leitner,25,75,LDM,73
R. Skov,22,81,RM,73
B. Guzan,33,73,GK,73
M. Mitrovi?,24,78,CB,73
A. Luthe,31,73,GK,73
A. Traor‚,28,73,LB,73
N. Uysal,27,75,RCB,73
G. Donati,28,73,RB,73
A. Ujah,27,73,ST,73
A. Kravets,29,73,ST,73
Z. Toma?evi?,28,74,CB,73
M. Borjan,30,73,GK,73
S. Luki?,21,80,CDM,73
C. Goldson,25,80,RCB,73
Rub‚n Alcaraz,27,74,LCM,73
L. Ulloa,31,73,ST,73
Iv n L¢pez,24,78,RB,73
S. Amrabat,21,79,CM,73
M. W”ber,20,81,CB,73
F. Lucioni,30,73,RCB,73
Calero,22,82,LCB,73
C. Marrugo,32,73,CAM,73
J. Forl¡n,30,73,CB,73
L. Janson,23,79,CF,73
B. Bolingoli,23,78,LB,73
Thiago Santana,25,75,ST,73
K. Rausch,28,73,LB,73
N. Etheridge,28,75,GK,73
Aitor Sanz,33,73,CDM,73
Frederico Venƒncio,25,77,CB,73
M. Gruji?,22,84,RDM,73
M. Langerak,29,74,GK,73
H. Manzala,24,79,LM,73
Paulinho,32,73,LW,73
W. Troost-Ekong,24,77,RCB,73
D. Fagundez,23,77,CAM,73
U. Demirok,29,73,LCB,73
R. Kruse,29,73,LM,73
T. Matlaba,30,73,LB,73
G. Banguera,22,82,GK,73
A. ™zbiliz,28,73,RW,73
S. Al Dawsari,26,73,LM,73
I. Success,22,80,RM,73
A. Long,25,78,RCB,73
M. ?koda,32,73,ST,73
A. Diakhaby,21,78,RM,73
D. Kadah,32,73,CAM,73
A. R¡os,29,73,RCM,73
J. Mateta,21,84,RS,73
F. Cacciatore,31,73,RB,73
R. van Rhijn,27,74,RB,73
R. P‚rez,28,74,RCB,73
A. Baumjohann,31,73,CAM,73
R. Elm,30,73,RCM,73
H. Kald?r?m,28,73,LB,73
F. Monetti,29,75,GK,73
K. Nababkin,31,73,LM,73
S. Williams,31,73,CDM,73
M. St?pi?ski,23,80,LS,73
M. Pazdan,30,73,CB,73
T. Al Jassam,33,73,CAM,73
M. Heller,32,73,RM,73
V. Pajot,27,73,CM,73
Y. Asad,23,79,LM,73
Y. Banana,26,75,RB,73
W. Montillo,34,73,CAM,73
L. Waldschmidt,22,79,LS,73
Y. Makarenko,27,75,CM,73
J. M‘hle,21,81,RB,73
A. Reach,25,77,CAM,73
Y. Ayhan,36,73,RCB,73
N. Skubic,29,73,RB,73
Fr‚d‚ric Mendy,29,73,ST,73
D. Pizarro,38,73,CM,73
Pierrino Faria,30,73,GK,73
Adri n Gonz lez,30,73,LDM,73
F. Tobio,28,74,LCB,73
R. Sigur?sson,32,73,LCB,73
K. Reichel,31,73,LB,73
Nivo Serpinho,34,73,GK,73
M. Wagu‚,27,75,CB,73
M. Klich,28,73,RM,73
A. Abdennour,28,73,CB,73
B. Wood,25,76,ST,73
?lex P‚rez,26,75,RCB,73
G. Cano,30,73,RS,73
I. Arboleda,22,80,GK,73
A. Dom¡nguez,31,73,GK,73
O. Kragl,28,73,LM,73
Jos‚ Rodr¡guez,23,78,RCM,73
F. Pardo,27,73,RM,73
R. Doan,20,84,RM,73
O. Hiljemark,26,75,CM,73
J. McGinn,23,78,RCM,73
V. Vada,22,79,CM,73
R. Halliche,31,73,CB,73
L. Marrone,28,73,LCB,73
G. Cimirot,25,76,LCM,73
K. Wilczek,30,73,RS,73
Jo?o Amaral,26,73,RM,73
R. Bengtsson,32,73,CB,73
E. Johansson,29,73,LCB,73
H‚lder Lopes,29,73,LB,73
Serginho,24,78,ST,73
M. Linnes,26,74,RB,73
S. Tibbling,23,79,LCM,73
S. Simi?,23,81,CB,73
W. Trapp,25,77,CDM,73
N. Radonji?,22,80,LW,73
M. Sau,30,73,ST,73
J. Schieber,29,73,ST,73
Bot¡a,29,73,RCB,73
W. Kanon,24,77,LCB,73
Amilton,28,73,RW,73
J. Ito,25,75,RM,73
Edgar Bad¡a,26,77,GK,73
N. Penneteau,37,73,GK,73
V. Lazaro,22,78,RM,73
V. Wormgoor,29,73,RCB,73
A. Hunou,24,78,RM,73
L. Gamba,31,73,RS,73
Kim Seung Joon,23,75,RW,73
R. Krhin,28,73,RDM,73
J. Herrera,37,73,GK,73
B. Stancu,31,73,ST,73
A. Tashaev,24,77,LM,73
M. Frantz,31,73,LM,73
R. Bezus,27,73,CM,73
Shin Hwa Yong,35,73,GK,73
R. Genevois,30,73,CB,73
M. Degenek,24,80,CB,73
Oswaldito Cuba,34,73,LB,73
C. Rigamonti,31,73,GK,73
Wallace,30,73,RCB,73
J. Kova?¡k,30,73,LM,73
Douglas Luiz,20,83,LCM,73
V. Torosidis,33,73,RB,73
N. Isimat-Mirin,26,74,CB,73
R£ben Ferreira,28,73,LB,73
L. Gil,27,74,RDM,73
P. Diop,20,84,CM,73
Z. Machach,22,80,CAM,73
M. Bettinelli,26,77,GK,73
A. Pe¤aranda,21,81,ST,73
K. Frei,24,76,LM,73
Sergi Samper,23,80,CDM,73
R. Lod,25,77,RM,73
H. Saivet,27,73,CM,73
A. Regattin,26,73,LM,73
Mauro Cildinho,34,73,RB,73
J. Ikoko,24,78,RB,73
P. Chavarr¡a,30,73,ST,73
R. Bennett,28,73,RCB,73
K. Hansen,29,73,RCB,73
S. Grler,26,73,RM,73
D. Dainelli,39,73,CB,73
M. Mantovani,33,73,CB,73
A. Zeneli,23,77,LM,73
Jo?o Carvalho,21,82,CAM,73
N. Barazite,28,73,CAM,73
M. Aguirregaray,29,73,RB,73
A. Ricaurte,26,75,LM,73
D. Randolph,31,73,GK,73
Omar Ramos,30,73,RM,73
D. Jensen,26,76,GK,73
J. Duque,26,77,CDM,73
E. Reynoso,22,80,CM,73
J. Elez,24,77,LCB,73
J. Guti‚rrez,34,73,CM,73
M. Leye,35,73,ST,73
K. Naughton,29,73,RB,73
Caio Secco,27,75,GK,73
B. Bianchi,29,73,RCB,73
E. Barco,19,88,LM,73
T. Leistner,27,74,RCB,73
R. Kishna,23,77,LW,73
F. Bachirou,28,73,CM,73
K. Rezaei,26,75,ST,73
D. Vukovic,33,73,GK,73
R. Nouri,33,73,LM,73
J. G¢mez,24,78,RB,73
Y. Gouffran,32,73,LM,73
Manu Garc¡a,20,84,CAM,73
I. K”yba??,28,73,LB,73
Juan Villar,30,73,RM,73
Y. Namli,24,76,RM,73
G. Blanco,26,74,LS,73
A. Ramos,32,73,ST,73
M. Jedin k,33,73,CDM,73
M. Rybus,28,73,LB,73
J. Barroso,33,73,CB,73
A. Cohen,29,73,LDM,73
B. Raman,23,79,LM,73
A. McGeady,32,73,LM,73
B. Reid,25,78,ST,73
Herv¡as,25,76,RM,73
L. Pocrnjic,36,73,GK,73
S. Ingason,24,78,CB,73
T. Heurtaux,29,73,CB,73
G. Wikheim,25,76,LW,73
Valdivia,23,78,CAM,73
S. C seres,21,83,CDM,73
A. Gunnarsson,29,73,RCM,73
L. Hinterseer,27,74,ST,73
S. Peeters,26,76,LCM,73
U. Agbo,22,80,CDM,73
D. Luckassen,22,77,CB,73
M. Terrier,21,83,ST,73
Marcos Guilherme,22,79,RM,73
T. Parker,25,78,CB,73
A. Lookman,20,85,LM,73
P. Mouche,30,73,LM,73
A. Rosina,34,73,RW,73
B. Bannan,28,73,LDM,73
dundo Oliveira,26,73,LCB,73
Guilherme,27,73,RM,73
A. Solari,26,74,RM,73
H. Barnes,20,84,CAM,73
V. Coufal,25,76,RB,73
S. Di Carmine,29,73,ST,73
C. Roldan,23,79,RM,73
F. Lemoine,31,73,RCM,73
Djalma,31,73,LM,73
D. Lukebakio,20,81,RS,73
Y. Benalouane,31,73,CB,73
L. Pisculichi,34,73,CAM,73
Edinho,35,73,ST,73
Paolito Serra,26,73,LCB,73
J. Fleck,26,74,LCM,73
L. Rosi?,25,78,CB,73
F. Soldano,23,79,ST,73
A. Hansen,28,75,GK,73
V. Garc¡a,24,78,RB,73
F. S nchez,28,73,RB,73
C. Carmona,31,73,CDM,73
B. Sigur?arson,27,74,ST,73
Y. Yot£n,28,73,LDM,73
G. Zardes,26,74,ST,73
J. M‚nez,31,73,ST,73
S. Prediger,31,73,LDM,73
A. Webster,23,77,LCB,72
I. Damonte,36,72,RCM,72
A. Diouss‚,20,80,CDM,72
Laure,33,72,RB,72
N. Karelis,26,75,ST,72
Vesga,25,77,CDM,72
V. Jovanovi?,22,78,CB,72
J. Filipovi?,25,75,RCB,72
J. Cuevas,30,72,RW,72
Rober Ib ¤ez,25,75,RM,72
J. Zmrhal,24,75,LM,72
J. Murphy,23,80,RM,72
D. Siovas,29,72,CB,72
J. Pohjanpalo,23,77,ST,72
R. Pierre-Gabriel,20,82,RB,72
H. Droguett,35,72,CAM,72
B. Corgnet,31,72,RM,72
A. Benali,26,73,CAM,72
V. Ibarbo,28,72,ST,72
F. Boulaya,25,75,RW,72
A. Blin,21,80,CDM,72
H. Aleesami,26,72,LB,72
J. Kenny,21,79,RB,72
D. Livakovi?,22,80,GK,72
